model,mode,arm,chunk_id,ppl,kl,flip
Llama-3.3-70B-Instruct,scale,acc_fp8 all,3,4.407729,0.424614,0.217773
Llama-3.3-70B-Instruct,scale,acc_fp8 all,4,3.847583,0.355716,0.197266
Llama-3.3-70B-Instruct,scale,acc_fp8 all,5,4.500008,0.270384,0.172852
Llama-3.3-70B-Instruct,scale,acc_fp8 all,6,4.924568,0.183974,0.147461
Llama-3.3-70B-Instruct,scale,acc_fp8 all,7,4.518218,0.056529,0.116211
Llama-3.3-70B-Instruct,scale,acc_fp8 all,8,5.797679,0.055412,0.096680
Llama-3.3-70B-Instruct,scale,acc_fp8 all,9,4.013723,0.155153,0.143555
Llama-3.3-70B-Instruct,scale,acc_fp8 all,10,4.279156,0.087122,0.086914
Llama-3.3-70B-Instruct,scale,acc_fp8 all,11,2.587021,0.140308,0.106445
Llama-3.3-70B-Instruct,scale,acc_fp8 all,12,2.379808,0.134432,0.105469
Llama-3.3-70B-Instruct,scale,acc_fp8 all,13,3.870953,0.112246,0.109375
Llama-3.3-70B-Instruct,scale,acc_fp8 all,14,4.704953,0.094614,0.128906
Llama-3.3-70B-Instruct,scale,acc_fp8 all,15,5.016250,0.074302,0.093750
Llama-3.3-70B-Instruct,scale,acc_fp8 all,16,5.776071,0.127360,0.153320
Llama-3.3-70B-Instruct,scale,acc_fp8 all,17,7.239176,0.079616,0.153320
Llama-3.3-70B-Instruct,scale,acc_fp8 all,18,5.875468,0.048586,0.088867
Llama-3.3-70B-Instruct,scale,acc_fp8 all,19,6.167313,0.043736,0.090820
Llama-3.3-70B-Instruct,scale,acc_fp8 all,20,5.768050,0.049664,0.100586
Llama-3.3-70B-Instruct,scale,acc_fp8 all,21,5.412286,0.043586,0.092773
Llama-3.3-70B-Instruct,scale,acc_fp8 all,22,10.602527,0.043744,0.086914
Llama-3.3-70B-Instruct,scale,acc_fp8 all,23,2.800982,0.268209,0.155273
Llama-3.3-70B-Instruct,scale,acc_fp8 all,24,5.144560,0.200085,0.153320
Llama-3.3-70B-Instruct,scale,acc_fp8 all,25,7.087309,0.058160,0.100586
Llama-3.3-70B-Instruct,scale,acc_fp8 all,26,8.308090,0.059457,0.125000
Llama-3.3-70B-Instruct,scale,acc_fp8 all,27,6.573999,0.051737,0.099609
Llama-3.3-70B-Instruct,scale,acc_fp8 all,28,5.871046,0.060044,0.087891
Llama-3.3-70B-Instruct,scale,acc_fp8 all,29,7.009082,0.076979,0.106445
Llama-3.3-70B-Instruct,scale,acc_fp8 all,30,7.974606,0.080674,0.118164
Llama-3.3-70B-Instruct,scale,acc_fp8 all,31,8.113255,0.065438,0.110352
Llama-3.3-70B-Instruct,scale,acc_fp8 body,0,3.813679,0.054749,0.066406
Llama-3.3-70B-Instruct,scale,acc_fp8 body,1,3.280433,0.172805,0.113281
Llama-3.3-70B-Instruct,scale,acc_fp8 body,2,3.474754,0.293437,0.172852
Llama-3.3-70B-Instruct,scale,acc_fp8 body,3,4.410875,0.422396,0.218750
Llama-3.3-70B-Instruct,scale,acc_fp8 body,4,3.849983,0.354039,0.198242
Llama-3.3-70B-Instruct,scale,acc_fp8 body,5,4.487643,0.266782,0.172852
Llama-3.3-70B-Instruct,scale,acc_fp8 body,6,4.915579,0.181688,0.152344
Llama-3.3-70B-Instruct,scale,acc_fp8 body,7,4.509848,0.054028,0.105469
Llama-3.3-70B-Instruct,scale,acc_fp8 body,8,5.767544,0.052611,0.096680
Llama-3.3-70B-Instruct,scale,acc_fp8 body,9,3.994635,0.153352,0.137695
Llama-3.3-70B-Instruct,scale,acc_fp8 body,10,4.266008,0.085173,0.080078
Llama-3.3-70B-Instruct,scale,acc_fp8 body,11,2.587787,0.138223,0.105469
Llama-3.3-70B-Instruct,scale,acc_fp8 body,12,2.374400,0.133343,0.104492
Llama-3.3-70B-Instruct,scale,acc_fp8 body,13,3.865287,0.109159,0.106445
Llama-3.3-70B-Instruct,scale,acc_fp8 body,14,4.697209,0.092070,0.126953
Llama-3.3-70B-Instruct,scale,acc_fp8 body,15,5.026484,0.071443,0.091797
Llama-3.3-70B-Instruct,scale,acc_fp8 body,16,5.785651,0.123799,0.140625
Llama-3.3-70B-Instruct,scale,acc_fp8 body,17,7.233035,0.076851,0.143555
Llama-3.3-70B-Instruct,scale,acc_fp8 body,18,5.906482,0.045032,0.087891
Llama-3.3-70B-Instruct,scale,acc_fp8 body,19,6.113454,0.040841,0.090820
Llama-3.3-70B-Instruct,scale,acc_fp8 body,20,5.758847,0.046991,0.088867
